algorithm,pqc_adoption_pct,effective_tps,avg_gas_per_tx,block_utilization,base_fee_gwei,consensus_phase,attestation_bandwidth_mbps,gas_limit_increase_threshold,consensus_feasibility
Dilithium2 (ML-DSA-44),20.0,35.5,70292.0,0.3515,28.8859,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),25.0,33.917,73685.0,0.3684,29.0132,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),25.0,33.917,73685.0,0.3684,29.0132,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),30.0,32.417,77078.0,0.3854,29.1404,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),30.0,32.417,77078.0,0.3854,29.1404,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),35.0,31.0,80471.0,0.4024,29.2677,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),35.0,31.0,80471.0,0.4024,29.2677,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),40.0,29.75,83864.0,0.4193,29.3949,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),40.0,29.75,83864.0,0.4193,29.3949,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),45.0,28.583,87257.0,0.4363,29.5221,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),45.0,28.583,87257.0,0.4363,29.5221,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),50.0,27.5,90650.0,0.4532,29.6494,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),50.0,27.5,90650.0,0.4532,29.6494,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),55.0,26.583,94043.0,0.4702,29.7766,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),55.0,26.583,94043.0,0.4702,29.7766,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),60.0,25.583,97436.0,0.4872,29.9038,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),60.0,25.583,97436.0,0.4872,29.9038,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),65.0,24.75,100829.0,0.5041,30.0311,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),65.0,24.75,100829.0,0.5041,30.0311,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),70.0,23.917,104222.0,0.5211,30.1583,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),70.0,23.917,104222.0,0.5211,30.1583,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),75.0,23.167,107615.0,0.5381,30.2856,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),75.0,23.167,107615.0,0.5381,30.2856,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),80.0,22.5,111008.0,0.555,30.4128,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),80.0,22.5,111008.0,0.555,30.4128,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),85.0,21.833,114401.0,0.572,30.54,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),85.0,21.833,114401.0,0.572,30.54,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),90.0,21.167,117794.0,0.589,30.6673,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),90.0,21.167,117794.0,0.589,30.6673,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),95.0,20.583,121187.0,0.6059,30.7945,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),95.0,20.583,121187.0,0.6059,30.7945,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),100.0,20.0,124580.0,0.6229,30.9217,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),100.0,20.0,124580.0,0.6229,30.9217,pqc,166.99,25.0,False
Dilithium3 (ML-DSA-65),0.0,44.0,56720.0,0.2836,28.377,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),0.0,44.0,56720.0,0.2836,28.377,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),5.0,40.5,61628.0,0.3081,28.561,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),5.0,40.5,61628.0,0.3081,28.561,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),10.0,37.5,66536.0,0.3327,28.7451,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),10.0,37.5,66536.0,0.3327,28.7451,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),15.0,34.917,71443.0,0.3572,28.9291,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),15.0,34.917,71443.0,0.3572,28.9291,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),20.0,32.667,76351.0,0.3818,29.1132,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),20.0,32.667,76351.0,0.3818,29.1132,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),25.0,30.75,81259.0,0.4063,29.2972,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),25.0,30.75,81259.0,0.4063,29.2972,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),30.0,29.0,86167.0,0.4308,29.4813,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),30.0,29.0,86167.0,0.4308,29.4813,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),35.0,27.417,91075.0,0.4554,29.6653,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),35.0,27.417,91075.0,0.4554,29.6653,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),40.0,26.0,95982.0,0.4799,29.8493,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),40.0,26.0,95982.0,0.4799,29.8493,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),45.0,24.75,100890.0,0.5045,30.0334,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),45.0,24.75,100890.0,0.5045,30.0334,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),50.0,23.583,105798.0,0.529,30.2174,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),50.0,23.583,105798.0,0.529,30.2174,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),55.0,22.5,110706.0,0.5535,30.4015,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),55.0,22.5,110706.0,0.5535,30.4015,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),60.0,21.583,115614.0,0.5781,30.5855,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),60.0,21.583,115614.0,0.5781,30.5855,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),65.0,20.667,120521.0,0.6026,30.7696,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),65.0,20.667,120521.0,0.6026,30.7696,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),70.0,19.917,125429.0,0.6271,30.9536,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),70.0,19.917,125429.0,0.6271,30.9536,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),75.0,19.167,130337.0,0.6517,31.1376,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),75.0,19.167,130337.0,0.6517,31.1376,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),80.0,18.417,135245.0,0.6762,31.3217,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),80.0,18.417,135245.0,0.6762,31.3217,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),85.0,17.833,140153.0,0.7008,31.5057,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),85.0,17.833,140153.0,0.7008,31.5057,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),90.0,17.167,145060.0,0.7253,31.6898,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),90.0,17.167,145060.0,0.7253,31.6898,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),95.0,16.667,149968.0,0.7498,31.8738,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),95.0,16.667,149968.0,0.7498,31.8738,pqc,224.2,15.0,False
Dilithium3 (ML-DSA-65),100.0,16.083,154876.0,0.7744,32.0579,bls,0.03,15.0,False
Dilithium3 (ML-DSA-65),100.0,16.083,154876.0,0.7744,32.0579,pqc,224.2,15.0,False
Dilithium5 (ML-DSA-87),0.0,44.0,56720.0,0.2836,28.377,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),0.0,44.0,56720.0,0.2836,28.377,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),5.0,39.167,63773.0,0.3189,28.6415,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),5.0,39.167,63773.0,0.3189,28.6415,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),10.0,35.25,70826.0,0.3541,28.906,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),10.0,35.25,70826.0,0.3541,28.906,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),15.0,32.083,77880.0,0.3894,29.1705,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),15.0,32.083,77880.0,0.3894,29.1705,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),20.0,29.417,84933.0,0.4247,29.435,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),20.0,29.417,84933.0,0.4247,29.435,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),25.0,27.167,91986.0,0.4599,29.6995,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),25.0,27.167,91986.0,0.4599,29.6995,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),30.0,25.167,99039.0,0.4952,29.964,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),30.0,25.167,99039.0,0.4952,29.964,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),35.0,23.5,106092.0,0.5305,30.2285,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),35.0,23.5,106092.0,0.5305,30.2285,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),40.0,22.083,113146.0,0.5657,30.493,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),40.0,22.083,113146.0,0.5657,30.493,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),45.0,20.75,120199.0,0.601,30.7575,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),45.0,20.75,120199.0,0.601,30.7575,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),50.0,19.583,127252.0,0.6363,31.022,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),50.0,19.583,127252.0,0.6363,31.022,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),55.0,18.583,134305.0,0.6715,31.2864,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),55.0,18.583,134305.0,0.6715,31.2864,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),60.0,17.667,141358.0,0.7068,31.5509,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),60.0,17.667,141358.0,0.7068,31.5509,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),65.0,16.833,148412.0,0.7421,31.8154,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),65.0,16.833,148412.0,0.7421,31.8154,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),70.0,16.0,155465.0,0.7773,32.0799,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),70.0,16.0,155465.0,0.7773,32.0799,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),75.0,15.333,162518.0,0.8126,32.3444,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),75.0,15.333,162518.0,0.8126,32.3444,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),80.0,14.667,169571.0,0.8479,32.6089,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),80.0,14.667,169571.0,0.8479,32.6089,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),85.0,14.083,176624.0,0.8831,32.8734,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),85.0,14.083,176624.0,0.8831,32.8734,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),90.0,13.583,183678.0,0.9184,33.1379,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),90.0,13.583,183678.0,0.9184,33.1379,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),95.0,13.083,190731.0,0.9537,33.4024,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),95.0,13.083,190731.0,0.9537,33.4024,pqc,309.53,15.0,False
Dilithium5 (ML-DSA-87),100.0,12.583,197784.0,0.9889,33.6669,bls,0.03,15.0,False
Dilithium5 (ML-DSA-87),100.0,12.583,197784.0,0.9889,33.6669,pqc,309.53,15.0,False
SPHINCS+-128s,0.0,44.0,56720.0,0.2836,28.377,bls,0.03,10.0,False
SPHINCS+-128s,0.0,44.0,56720.0,0.2836,28.377,pqc,523.24,10.0,False
SPHINCS+-128s,5.0,37.0,67563.0,0.3378,28.7836,bls,0.03,10.0,False
SPHINCS+-128s,5.0,37.0,67563.0,0.3378,28.7836,pqc,523.24,10.0,False
SPHINCS+-128s,10.0,31.833,78406.0,0.392,29.1902,bls,0.03,10.0,False
SPHINCS+-128s,10.0,31.833,78406.0,0.392,29.1902,pqc,523.24,10.0,False
SPHINCS+-128s,15.0,28.0,89249.0,0.4462,29.5968,bls,0.03,10.0,False
SPHINCS+-128s,15.0,28.0,89249.0,0.4462,29.5968,pqc,523.24,10.0,False
SPHINCS+-128s,20.0,24.917,100092.0,0.5005,30.0035,bls,0.03,10.0,False
SPHINCS+-128s,20.0,24.917,100092.0,0.5005,30.0035,pqc,523.24,10.0,False
SPHINCS+-128s,25.0,22.5,110935.0,0.5547,30.4101,bls,0.03,10.0,False
SPHINCS+-128s,25.0,22.5,110935.0,0.5547,30.4101,pqc,523.24,10.0,False
SPHINCS+-128s,30.0,20.5,121778.0,0.6089,30.8167,bls,0.03,10.0,False
SPHINCS+-128s,30.0,20.5,121778.0,0.6089,30.8167,pqc,523.24,10.0,False
SPHINCS+-128s,35.0,18.833,132621.0,0.6631,31.2233,bls,0.03,10.0,False
SPHINCS+-128s,35.0,18.833,132621.0,0.6631,31.2233,pqc,523.24,10.0,False
SPHINCS+-128s,40.0,17.417,143464.0,0.7173,31.6299,bls,0.03,10.0,False
SPHINCS+-128s,40.0,17.417,143464.0,0.7173,31.6299,pqc,523.24,10.0,False
SPHINCS+-128s,45.0,16.167,154307.0,0.7715,32.0365,bls,0.03,10.0,False
SPHINCS+-128s,45.0,16.167,154307.0,0.7715,32.0365,pqc,523.24,10.0,False
SPHINCS+-128s,50.0,15.083,165150.0,0.8257,32.4431,bls,0.03,10.0,False
SPHINCS+-128s,50.0,15.083,165150.0,0.8257,32.4431,pqc,523.24,10.0,False
SPHINCS+-128s,55.0,14.167,175993.0,0.88,32.8497,bls,0.03,10.0,False
SPHINCS+-128s,55.0,14.167,175993.0,0.88,32.8497,pqc,523.24,10.0,False
SPHINCS+-128s,60.0,13.333,186836.0,0.9342,33.2563,bls,0.03,10.0,False
SPHINCS+-128s,60.0,13.333,186836.0,0.9342,33.2563,pqc,523.24,10.0,False
SPHINCS+-128s,65.0,12.583,197679.0,0.9884,33.663,bls,0.03,10.0,False
SPHINCS+-128s,65.0,12.583,197679.0,0.9884,33.663,pqc,523.24,10.0,False
SPHINCS+-128s,70.0,11.917,208522.0,1.0,34.0696,bls,0.03,10.0,False
SPHINCS+-128s,70.0,11.917,208522.0,1.0,34.0696,pqc,523.24,10.0,False
SPHINCS+-128s,75.0,11.333,219365.0,1.0,34.4762,bls,0.03,10.0,False
SPHINCS+-128s,75.0,11.333,219365.0,1.0,34.4762,pqc,523.24,10.0,False
SPHINCS+-128s,80.0,10.833,230208.0,1.0,34.8828,bls,0.03,10.0,False
SPHINCS+-128s,80.0,10.833,230208.0,1.0,34.8828,pqc,523.24,10.0,False
SPHINCS+-128s,85.0,10.333,241051.0,1.0,35.2894,bls,0.03,10.0,False
SPHINCS+-128s,85.0,10.333,241051.0,1.0,35.2894,pqc,523.24,10.0,False
SPHINCS+-128s,90.0,9.917,251894.0,1.0,35.696,bls,0.03,10.0,False
SPHINCS+-128s,90.0,9.917,251894.0,1.0,35.696,pqc,523.24,10.0,False
SPHINCS+-128s,95.0,9.5,262737.0,1.0,36.1026,bls,0.03,10.0,False
SPHINCS+-128s,95.0,9.5,262737.0,1.0,36.1026,pqc,523.24,10.0,False
SPHINCS+-128s,100.0,9.083,273580.0,1.0,36.5092,bls,0.03,10.0,False
SPHINCS+-128s,100.0,9.083,273580.0,1.0,36.5092,pqc,523.24,10.0,False
SPHINCS+-256s,0.0,44.0,56720.0,0.2836,28.377,bls,0.03,5.0,False
SPHINCS+-256s,0.0,44.0,56720.0,0.2836,28.377,pqc,1960.84,5.0,False
SPHINCS+-256s,5.0,26.417,94479.0,0.4724,29.7929,bls,0.03,5.0,False
SPHINCS+-256s,5.0,26.417,94479.0,0.4724,29.7929,pqc,1960.84,5.0,False
SPHINCS+-256s,10.0,18.833,132237.0,0.6612,31.2089,bls,0.03,5.0,False
SPHINCS+-256s,10.0,18.833,132237.0,0.6612,31.2089,pqc,1960.84,5.0,False
SPHINCS+-256s,15.0,14.667,169996.0,0.85,32.6248,bls,0.03,5.0,False
SPHINCS+-256s,15.0,14.667,169996.0,0.85,32.6248,pqc,1960.84,5.0,False
SPHINCS+-256s,20.0,12.0,207754.0,1.0,34.0408,bls,0.03,5.0,False
SPHINCS+-256s,20.0,12.0,207754.0,1.0,34.0408,pqc,1960.84,5.0,False
SPHINCS+-256s,25.0,10.167,245513.0,1.0,35.4567,bls,0.03,5.0,False
SPHINCS+-256s,25.0,10.167,245513.0,1.0,35.4567,pqc,1960.84,5.0,False
SPHINCS+-256s,30.0,8.75,283272.0,1.0,36.8727,bls,0.03,5.0,False
SPHINCS+-256s,30.0,8.75,283272.0,1.0,36.8727,pqc,1960.84,5.0,False
SPHINCS+-256s,35.0,7.75,321030.0,1.0,38.2886,bls,0.03,5.0,False
SPHINCS+-256s,35.0,7.75,321030.0,1.0,38.2886,pqc,1960.84,5.0,False
SPHINCS+-256s,40.0,6.917,358789.0,1.0,39.7046,bls,0.03,5.0,False
SPHINCS+-256s,40.0,6.917,358789.0,1.0,39.7046,pqc,1960.84,5.0,False
SPHINCS+-256s,45.0,6.25,396547.0,1.0,41.1205,bls,0.03,5.0,False
SPHINCS+-256s,45.0,6.25,396547.0,1.0,41.1205,pqc,1960.84,5.0,False
SPHINCS+-256s,50.0,5.75,434306.0,1.0,42.5365,bls,0.03,5.0,False
SPHINCS+-256s,50.0,5.75,434306.0,1.0,42.5365,pqc,1960.84,5.0,False
SPHINCS+-256s,55.0,5.25,472065.0,1.0,43.9524,bls,0.03,5.0,False
SPHINCS+-256s,55.0,5.25,472065.0,1.0,43.9524,pqc,1960.84,5.0,False
SPHINCS+-256s,60.0,4.833,509823.0,1.0,45.3684,bls,0.03,5.0,False
SPHINCS+-256s,60.0,4.833,509823.0,1.0,45.3684,pqc,1960.84,5.0,False
SPHINCS+-256s,65.0,4.5,547582.0,1.0,46.7843,bls,0.03,5.0,False
SPHINCS+-256s,65.0,4.5,547582.0,1.0,46.7843,pqc,1960.84,5.0,False
SPHINCS+-256s,70.0,4.25,585340.0,1.0,48.2003,bls,0.03,5.0,False
SPHINCS+-256s,70.0,4.25,585340.0,1.0,48.2003,pqc,1960.84,5.0,False
SPHINCS+-256s,75.0,4.0,623099.0,1.0,49.6162,bls,0.03,5.0,False
